crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
E,optimized,correlated,120,10,34,5,-356.84331837722624,2674.0,-344.5588,-405.6343
E,optimized,correlated,150,12,18,1,-229.76312804972864,2148.0,-227.8166,-346.6897
E,optimized,correlated,150,12,18,2,-217.79820626791604,2672.0,-215.908,-322.1876
E,optimized,correlated,150,12,18,3,-222.7641121203679,2346.0,-220.7413,-346.238
E,optimized,correlated,150,12,18,4,-210.01199278111397,2647.0,-208.1412,-327.3893
E,optimized,correlated,150,12,18,5,-226.16965371163928,2280.0,-224.3058,-341.0063
E,optimized,correlated,150,12,44,1,-541.8499998915383,16260.0,-519.9867,-668.8401
E,optimized,correlated,150,12,44,2,-491.5916657041615,1627.0,-464.2778,-619.5686
E,optimized,correlated,150,12,44,3,-531.2652082212559,2634.0,-507.4129,-733.0928
E,optimized,correlated,150,12,44,4,-454.48108108078566,1822.0,-428.6518,-573.9999
E,optimized,correlated,150,12,44,5,-537.8337550244277,1798.0,-512.8838,-657.4779
AGC,baseline,correlated,80,26,40,1,-13.336906366031705,993.0,-12.66485,-14.12734
AGC,baseline,correlated,80,26,40,2,-12.631819250293034,48.0,-12.12781,-14.98262
AGC,baseline,correlated,80,26,40,3,-13.434918981262062,58.0,-12.75118,-14.11073
AGC,baseline,correlated,80,26,40,4,-13.126447210269493,29.0,-12.34061,-13.72084
AGC,baseline,correlated,80,26,40,5,-13.511889183920081,65.0,-12.86701,-14.76
AGC,baseline,correlated,100,33,50,1,-11.790643520493006,754.0,-11.27942,-12.25808
AGC,baseline,correlated,100,33,50,2,-11.2718943405727,48.0,-10.97813,-12.56986
AGC,baseline,correlated,100,33,50,3,-10.776041107164414,39.0,-10.63086,-11.18209
AGC,baseline,correlated,100,33,50,4,-11.822252113337667,47.0,-11.17701,-12.58649
AGC,baseline,correlated,100,33,50,5,-10.239196695841091,33.0,-10.09206,-11.52265
AGC,baseline,correlated,150,50,75,1,-9.24321937847932,722.0,-9.118338,-10.76437
AGC,baseline,correlated,150,50,75,2,-8.35553280866055,195.0,-8.319407,-8.760414
AGC,baseline,correlated,150,50,75,3,-9.268293583207976,1141.0,-9.107533,-9.737283
AGC,baseline,correlated,150,50,75,4,-9.983121871525025,224.0,-9.529105,-11.51863
AGC,baseline,correlated,150,50,75,5,-8.347898138877213,50.0,-8.281161,-8.702312
AGC,baseline,correlated,200,66,100,1,-9.654221581058744,1126.0,-9.349934,-10.40511
AGC,baseline,correlated,200,66,100,2,-9.72499046916086,133.0,-9.401429,-10.9587
AGC,baseline,correlated,200,66,100,3,-9.789355086531492,142.0,-9.38917,-10.56997
AGC,baseline,correlated,200,66,100,4,-8.566021420255845,90.0,-8.39825,-9.059644
AGC,baseline,correlated,200,66,100,5,-10.212910689228128,77.0,-9.642498,-11.7064
AGC,baseline,independent,80,26,40,1,-3.696710572386767,1270.0,-3.33392,-5.307059
AGC,baseline,independent,80,26,40,2,-2.953638177766803,20.0,-2.736808,-4.463447
